Postcode,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Spicy Chicken House,43.76063939666398,-79.32567060771729,Chinese Restaurant
M3A,Parkwoods,43.752440000000036,-79.32927072599996,La Notre,43.76070416249771,-79.32539551954271,Coffee Shop
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Family Food Fair Convenience,43.760619989690674,-79.32445934492416,Convenience Store
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Parkwoods Village Centre,43.760735,-79.324873,Shopping Mall
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Jatujak,43.736207542145884,-79.30766830088342,Thai Restaurant
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Armenian Kitchen,43.73107096414275,-79.30539020048727,Middle Eastern Restaurant
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Wigmore Park,43.731023438497964,-79.3107706628902,Park
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Pizza Nova,43.725823726352196,-79.31286041792907,Pizza Place
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Artistic Nails,43.73612,-79.30808,Spa
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Value Village,43.726177913526385,-79.30281878706506,Thrift / Vintage Store
M4A,Victoria Village,43.730420577000075,-79.31331999999998,Pet Valu,43.726178,-79.3029598519206,Pet Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Cocina Economica,43.65495889022676,-79.3656572507398,Mexican Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347,Italian Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Toronto Cooper Koo Family Cherry St YMCA Centre,43.65319052672638,-79.35794700053884,Gym / Fitness Center
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Starbucks,43.65132698417445,-79.36432857157803,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,LCBO,43.65098233828489,-79.36536081685296,Liquor Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Corktown Common,43.655617799749734,-79.3562113397429,Park
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Souk Tabule,43.65375556880743,-79.35439006096168,Mediterranean Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Black Canary Espresso Bar,43.651868733003134,-79.36850642387674,Café
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Fusaro's,43.65334679826618,-79.36951731755141,Italian Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Underpass Park,43.65576361726024,-79.3548059463501,Park
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Starbucks,43.65127567183137,-79.36804556406207,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Balzac's Coffee,43.649797141476185,-79.35914199644303,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,NEO COFFEE BAR,43.65070234158804,-79.36925939681731,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Madrina Bar Y Tapería,43.64967461878778,-79.35958990739668,Spanish Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Spotify,43.64991916262922,-79.35886149447444,Tech Startup
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Daniels Spectrum,43.66013679276432,-79.36180783336452,Performing Arts Venue
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The George Street Diner,43.65297,-79.371467,Diner
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness Center
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Toronto Humane Society,43.65769802359708,-79.3565828808708,Animal Shelter
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,EQ3,43.65129553904327,-79.36825667378011,Furniture / Home Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,John Fluevog Shoes,43.64989585773889,-79.3594359503061,Shoe Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Cluck Clucks,43.64964842651325,-79.3664078057654,Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Fahrenheit Coffee,43.65238358726612,-79.37271903848271,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Berkeley Street Theatre,43.65051724574011,-79.36417258802608,Theater
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Merchants of Green Coffee,43.659916,-79.353963,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Mystic Muffin,43.652483550499326,-79.37265472845176,Middle Eastern Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Abnormal Beauty Company,43.649892147380996,-79.3610051085219,Cosmetics Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Greg's Ice Cream,43.65010164153305,-79.3604404498866,Ice Cream Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Dark Horse Espresso Bar,43.65849807585409,-79.35235639621163,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Bulk Barn,43.64999368528393,-79.37009943145777,Grocery Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Le Petit Déjeuner,43.650822486200305,-79.37043860004992,Breakfast Spot
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102,Hotel
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Sukhothai,43.653700903664294,-79.3544465359079,Thai Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Poet Cafe,43.65063683072023,-79.37127573699792,Café
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Bellisimo Pizzeria & Ristorante,43.648748,-79.368684,Pizza Place
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Betty's,43.65158716627337,-79.36751495404803,Bar
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,GEORGE Restaurant,43.65334645635036,-79.3744449051126,Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Triple A Bar (AAA),43.65165840099557,-79.3727201723461,BBQ Joint
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Berkeley Bistro,43.64995993956305,-79.36388845370516,Gastropub
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Archeo,43.65066723014277,-79.35943064816142,Italian Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,FARMR Eatery & Catering,43.648419863375096,-79.37027379521088,Bistro
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Ontario Spring Water Sake Company,43.649921646081026,-79.36007302731126,Brewery
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Ontario Restaurant,43.65888321199789,-79.36836906142996,Diner
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Pearl Diver,43.651481290733734,-79.37359954211877,Gastropub
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,On The Rocks,43.65040844699981,-79.3683544809487,Karaoke Bar
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Young People's Theatre,43.64979311983223,-79.36888127403039,Theater
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Wildly Delicious Cafe,43.65043587832196,-79.3588615181307,Café
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Thai To Go,43.663418,-79.36071,Thai Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Quad East,43.65868140211272,-79.35127335463245,Gym / Fitness Center
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Ardo,43.6512011278776,-79.36835027595798,Italian Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Cannonball,43.65829890360228,-79.35239704706817,Coffee Shop
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Urban Dog,43.649492642357984,-79.36161660622251,Pet Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Izumi,43.6499697935016,-79.36015326451906,Asian Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Paintbox Bistro,43.660050475903624,-79.36285470971839,Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,St Lawrence Community Centre Pool,43.64955698056156,-79.36506251486433,Gym Pool
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,St. James Park,43.6504248002309,-79.3723109702051,Park
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Pet Cuisine,43.64997022077983,-79.36992359146845,Pet Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Citrus Restaurant & Lounge @ The Grand Hotel,43.65627304573888,-79.37422062269164,Lounge
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Bombay Palace,43.65117354457489,-79.37213984452025,Indian Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,B.GOOD,43.64959138517889,-79.37120310814649,Fast Food Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Qi sushi,43.66255180762697,-79.36425843422568,Sushi Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Imagine Cinemas Market Square,43.64964574271603,-79.37244562498488,Movie Theater
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Mercedes-Benz Downtown,43.66143119502613,-79.35658517368444,Auto Dealership
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Local Gest,43.66288637648173,-79.36745701435075,Restaurant
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Beer Store,43.6613878,-79.370403,Beer Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,The Beer Store,43.657773,-79.3574632,Beer Store
M5A,"Harbourfront, Regent Park",43.65512000000007,-79.36263979699999,Sultan Of Samosas,43.66022749787444,-79.36622571571063,Indian Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Ted Baker London,43.72451893248142,-79.45270961233477,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Yorkdale Shopping Centre,43.72567700503474,-79.45155880195242,Shopping Mall
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,The Lego Store,43.725146367972975,-79.45297438060997,Toy / Game Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,SEPHORA,43.725469563870774,-79.45199960939351,Cosmetics Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Apple Yorkdale,43.7242596,-79.453133,Electronics Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Nordstrom,43.7260761,-79.4493348,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Holt Renfrew,43.72462470639476,-79.45166362398024,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Tiffany & Co.,43.724858,-79.452096,Jewelry Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Crate and Barrel,43.72658365,-79.45266115,Furniture / Home Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,UNIQLO ユニクロ,43.72644624289554,-79.450564443079,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,JOEY,43.724131425481275,-79.45404167853917,American Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,John Varvatos,43.724428411509365,-79.4536886988404,Men's Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,DAVIDsTEA,43.724356324167395,-79.45389041357538,Tea Room
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Louis Vuitton Toronto Holt Renfrew Yorkdale,43.72485940446512,-79.45147806645349,Leather Goods Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Shoppers Drug Mart,43.724775,-79.45538,Pharmacy
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Godiva Chocolatier,43.7259875,-79.4542377,Chocolate Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,RH Courtyard Café,43.7248736,-79.4555364,Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,MAC Cosmetics,43.72624153205319,-79.45219646990586,Cosmetics Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Zara,43.72581378585372,-79.45098261172777,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Starbucks,43.72463605173524,-79.45400730885653,Coffee Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Yuki Japanese Restaurant,43.72060971477955,-79.45611946822187,Sushi Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Indigo Books & Music,43.727006161344995,-79.45188256634867,Bookstore
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Williams-Sonoma,43.72549729371171,-79.45180914321543,Kitchen Supply Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Nadège,43.72549435365618,-79.44975749964433,Bakery
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Dine On 3,43.725890608726935,-79.452287937104,Food Court
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Restoration Hardware,43.724805,-79.455377,Furniture / Home Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Hudson's Bay,43.72618961354078,-79.45533454666722,Department Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Villa Madina,43.724684,-79.454172,Mediterranean Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Disney store,43.725402,-79.450654,Toy / Game Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,The Burger's Priest,43.72073005958045,-79.4564122001043,Burger Joint
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,lululemon,43.7256858,-79.4502545,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Caffè Demetre,43.72017931839126,-79.45621855808365,Dessert Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Cineplex Cinemas Yorkdale,43.72699993064192,-79.4512895821115,Movie Theater
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Yogen Früz,43.72698291346063,-79.4516734445689,Frozen Yogurt Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Topman,43.725752830163216,-79.45496511150792,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,American Eagle Outfitters,43.7257072,-79.4539649,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,H&M,43.7263812,-79.45107999999999,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Levi's,43.72518987998329,-79.45326085451003,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Ladurée Toronto,43.72564745827301,-79.45126510748175,Dessert Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,The Cheesecake Factory,43.726558963661,-79.45423998794942,American Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,All Saints,43.72437763616194,-79.45364623619574,Clothing Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Microsoft Store,43.72435016457455,-79.45387935663754,Electronics Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Mary Brown's Famous Chicken,43.71830860417442,-79.45570632677568,Fried Chicken Joint
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Yorkdale Food Court,43.72593970794716,-79.45222775066644,Food Court
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Krystos,43.71851626753137,-79.45585522412502,Greek Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Harry Rosen,43.72519597305966,-79.45399822742344,Men's Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Jimmy The Greek,43.726137741274506,-79.45210637051972,Greek Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Burberry,43.7252365,-79.4521221,Boutique
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Chipotle Mexican Grill,43.725983,-79.452408,Mexican Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Popeyes Louisiana Kitchen,43.72247710118178,-79.45647214024791,Fried Chicken Joint
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Costco Wholesale,43.73090022835022,-79.4557174545216,Warehouse Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Sport Chek,43.72699618772995,-79.45159476443713,Sporting Goods Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Victoria's Secret,43.72585526240302,-79.45401330099416,Lingerie Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Harvey's,43.71541325474797,-79.45529595174291,Fast Food Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,espressamente illy,43.72629982857244,-79.45226418913342,Café
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Swiss Chalet Rotisserie & Grill,43.71721362029563,-79.45611582753605,Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Dollarama,43.720728,-79.457467,Discount Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,BATLgrounds,43.72405414025907,-79.46339833125026,Athletics & Sports
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Marche Istanbul,43.71912892212775,-79.45763083788877,Grocery Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Playtime Bowl,43.717426948485006,-79.4581475917178,Bowling Alley
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Red Lobster,43.718952,-79.456245,Seafood Restaurant
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,Tim Hortons,43.7163657544789,-79.4468195423279,Coffee Shop
M6A,"Lawrence Heights, Lawrence Manor",43.72312500000004,-79.45158914699994,TD Canada Trust,43.71664740474467,-79.4563113060031,Bank
